"filename", "language", "TypeScript", "JSON with Comments", "Vue", "SCSS", "JSON", "YAML", "JavaScript", "wxs", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"d:\工作区\uniapp\heima-shop\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 2, 1, 21
"d:\工作区\uniapp\heima-shop\package.json", "JSON", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 68
"d:\工作区\uniapp\heima-shop\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 2387, 0, 0, 0, 0, 0, 0, 362, 2749
"d:\工作区\uniapp\heima-shop\project.config.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 44
"d:\工作区\uniapp\heima-shop\project.private.config.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\工作区\uniapp\heima-shop\src\App.vue", "Vue", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\工作区\uniapp\heima-shop\src\api\category.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\工作区\uniapp\heima-shop\src\api\goods.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11
"d:\工作区\uniapp\heima-shop\src\api\home.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 40
"d:\工作区\uniapp\heima-shop\src\api\index.d.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 180
"d:\工作区\uniapp\heima-shop\src\api\search.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\工作区\uniapp\heima-shop\src\components\my-goods\index.vue", "Vue", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 20, 6, 119
"d:\工作区\uniapp\heima-shop\src\components\my-search\index.vue", "Vue", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"d:\工作区\uniapp\heima-shop\src\components\uni-badge\uni-badge.vue", "Vue", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 33, 23, 269
"d:\工作区\uniapp\heima-shop\src\components\uni-breadcrumb-item\uni-breadcrumb-item.vue", "Vue", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 105
"d:\工作区\uniapp\heima-shop\src\components\uni-breadcrumb\uni-breadcrumb.vue", "Vue", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 39
"d:\工作区\uniapp\heima-shop\src\components\uni-calendar\calendar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 324, 0, 0, 0, 0, 184, 39, 547
"d:\工作区\uniapp\heima-shop\src\components\uni-calendar\i18n\en.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
