Date : 2022-06-22 15:31:26
Directory : d:\工作区\uniapp\heima-shop
Total : 182 files,  27536 codes, 4065 comments, 2549 blanks, all 34150 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Vue                |         82 |     17,964 |      3,257 |      1,466 |     22,687 |
| JavaScript         |         32 |      4,768 |        617 |        330 |      5,715 |
| YAML               |          1 |      2,387 |          0 |        362 |      2,749 |
| SCSS               |         14 |        572 |        126 |         84 |        782 |
| JSON               |         35 |        564 |         21 |         31 |        616 |
| CSS                |          1 |        498 |          0 |        166 |        664 |
| wxs                |          2 |        378 |          0 |         52 |        430 |
| TypeScript         |         11 |        358 |         38 |         54 |        450 |
| JSON with Comments |          1 |         18 |          4 |          1 |         23 |
| HTML               |          1 |         18 |          2 |          1 |         21 |
| Markdown           |          2 |         11 |          0 |          2 |         13 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |        182 |     27,536 |      4,065 |      2,549 |     34,150 |
| src                                                                                     |        175 |     24,984 |      4,058 |      2,183 |     31,225 |
| src\api                                                                                 |          5 |        196 |         16 |         31 |        243 |
| src\components                                                                          |        154 |     23,739 |      3,868 |      2,042 |     29,649 |
| src\components\my-goods                                                                 |          1 |         93 |         20 |          6 |        119 |
| src\components\my-search                                                                |          1 |         45 |          0 |          4 |         49 |
| src\components\uni-badge                                                                |          1 |        213 |         33 |         23 |        269 |
| src\components\uni-breadcrumb                                                           |          1 |         29 |          7 |          3 |         39 |
| src\components\uni-breadcrumb-item                                                      |          1 |         91 |          7 |          7 |        105 |
| src\components\uni-calendar                                                             |          8 |      1,224 |        366 |        108 |      1,698 |
| src\components\uni-calendar\i18n                                                        |          4 |         44 |          0 |          4 |         48 |
| src\components\uni-card                                                                 |          1 |        211 |         40 |         20 |        271 |
| src\components\uni-col                                                                  |          1 |        239 |         52 |         27 |        318 |
| src\components\uni-collapse                                                             |          1 |        127 |         18 |          3 |        148 |
| src\components\uni-collapse-item                                                        |          1 |        304 |         72 |         27 |        403 |
| src\components\uni-combox                                                               |          1 |        225 |         35 |         16 |        276 |
| src\components\uni-countdown                                                            |          5 |        272 |         21 |          9 |        302 |
| src\components\uni-countdown\i18n                                                       |          4 |         26 |          0 |          4 |         30 |
| src\components\uni-data-checkbox                                                        |          1 |        660 |        103 |         55 |        818 |
| src\components\uni-data-picker                                                          |          2 |        487 |         63 |         38 |        588 |
| src\components\uni-data-pickerview                                                      |          2 |        784 |         43 |         71 |        898 |
| src\components\uni-data-select                                                          |          1 |        338 |         36 |         29 |        403 |
| src\components\uni-dateformat                                                           |          2 |        264 |         15 |         11 |        290 |
| src\components\uni-datetime-picker                                                      |         10 |      2,879 |        441 |        216 |      3,536 |
| src\components\uni-datetime-picker\i18n                                                 |          4 |         65 |          0 |          4 |         69 |
| src\components\uni-drawer                                                               |          2 |        161 |         57 |         12 |        230 |
| src\components\uni-easyinput                                                            |          2 |        407 |         87 |         25 |        519 |
| src\components\uni-fab                                                                  |          1 |        343 |         96 |         37 |        476 |
| src\components\uni-fav                                                                  |          5 |        143 |         29 |         14 |        186 |
| src\components\uni-fav\i18n                                                             |          4 |         20 |          0 |          4 |         24 |
| src\components\uni-file-picker                                                          |          5 |      1,325 |        187 |         94 |      1,606 |
| src\components\uni-forms                                                                |          2 |        768 |        109 |         89 |        966 |
| src\components\uni-forms-item                                                           |          1 |        394 |         85 |         31 |        510 |
| src\components\uni-goods-nav                                                            |          5 |        204 |         34 |         22 |        260 |
| src\components\uni-goods-nav\i18n                                                       |          4 |         26 |          0 |          4 |         30 |
| src\components\uni-grid                                                                 |          1 |        105 |         32 |          6 |        143 |
| src\components\uni-grid-item                                                            |          1 |         98 |         23 |          7 |        128 |
| src\components\uni-group                                                                |          1 |        109 |         17 |          9 |        135 |
| src\components\uni-icons                                                                |          3 |      1,740 |         18 |        173 |      1,931 |
| src\components\uni-indexed-list                                                         |          2 |        415 |         70 |         28 |        513 |
| src\components\uni-link                                                                 |          1 |         98 |         27 |          4 |        129 |
| src\components\uni-list                                                                 |          3 |        209 |         29 |         25 |        263 |
| src\components\uni-list-ad                                                              |          1 |         84 |         14 |         10 |        108 |
| src\components\uni-list-chat                                                            |          2 |        433 |        114 |         51 |        598 |
| src\components\uni-list-item                                                            |          1 |        370 |         81 |          4 |        455 |
| src\components\uni-load-more                                                            |          5 |        332 |         38 |         57 |        427 |
| src\components\uni-load-more\i18n                                                       |          4 |         23 |          0 |          4 |         27 |
| src\components\uni-nav-bar                                                              |          2 |        289 |         61 |         27 |        377 |
| src\components\uni-notice-bar                                                           |          1 |        304 |         71 |         21 |        396 |
| src\components\uni-number-box                                                           |          1 |        182 |         27 |         13 |        222 |
| src\components\uni-pagination                                                           |          7 |        369 |         48 |         31 |        448 |
| src\components\uni-pagination\i18n                                                      |          6 |         32 |          0 |          6 |         38 |
| src\components\uni-popup                                                                |          7 |        432 |        129 |         20 |        581 |
| src\components\uni-popup-dialog                                                         |          2 |        259 |         38 |         21 |        318 |
| src\components\uni-popup-message                                                        |          1 |        103 |         27 |         14 |        144 |
| src\components\uni-popup-share                                                          |          1 |        150 |         26 |         12 |        188 |
| src\components\uni-popup\i18n                                                           |          4 |         29 |          0 |          4 |         33 |
| src\components\uni-rate                                                                 |          1 |        274 |         74 |         14 |        362 |
| src\components\uni-row                                                                  |          1 |        121 |         40 |         30 |        191 |
| src\components\uni-scss                                                                 |         15 |        603 |         78 |         62 |        743 |
| src\components\uni-scss\styles                                                          |          9 |        453 |         54 |         43 |        550 |
| src\components\uni-scss\styles\setting                                                  |          7 |        429 |         53 |         40 |        522 |
| src\components\uni-scss\styles\tools                                                    |          1 |         17 |          1 |          2 |         20 |
| src\components\uni-search-bar                                                           |          5 |        252 |         55 |         15 |        322 |
| src\components\uni-search-bar\i18n                                                      |          4 |         20 |          0 |          3 |         23 |
| src\components\uni-segmented-control                                                    |          1 |        117 |         18 |         11 |        146 |
| src\components\uni-steps                                                                |          1 |        202 |         40 |         28 |        270 |
| src\components\uni-swipe-action                                                         |          1 |         37 |         19 |          5 |         61 |
| src\components\uni-swipe-action-item                                                    |          8 |      1,414 |        253 |        142 |      1,809 |
| src\components\uni-swiper-dot                                                           |          1 |        164 |         39 |         16 |        219 |
| src\components\uni-table                                                                |          1 |        355 |         66 |         35 |        456 |
| src\components\uni-tag                                                                  |          1 |        187 |         36 |         30 |        253 |
| src\components\uni-tbody                                                                |          1 |         22 |          4 |          4 |         30 |
| src\components\uni-td                                                                   |          1 |         71 |         14 |          6 |         91 |
| src\components\uni-th                                                                   |          2 |        699 |         33 |         47 |        779 |
| src\components\uni-thead                                                                |          1 |        102 |         18 |         10 |        130 |
| src\components\uni-title                                                                |          1 |        133 |         28 |         11 |        172 |
| src\components\uni-tooltip                                                              |          1 |         51 |          7 |         11 |         69 |
| src\components\uni-tr                                                                   |          2 |        292 |         39 |         21 |        352 |
| src\components\uni-transition                                                           |          2 |        332 |         61 |         14 |        407 |
| src\pages                                                                               |          4 |        273 |         46 |         37 |        356 |
| src\pages\cart                                                                          |          1 |         44 |         12 |          4 |         60 |
| src\pages\cate                                                                          |          1 |        123 |         20 |         16 |        159 |
| src\pages\home                                                                          |          1 |         98 |         14 |         15 |        127 |
| src\pages\my                                                                            |          1 |          8 |          0 |          2 |         10 |
| src\store                                                                               |          1 |         26 |          3 |          1 |         30 |
| src\subpkg                                                                              |          3 |        420 |         61 |         35 |        516 |
| src\subpkg\goods_detail                                                                 |          1 |        167 |         18 |         13 |        198 |
| src\subpkg\goods_list                                                                   |          1 |         88 |         16 |         10 |        114 |
| src\subpkg\search                                                                       |          1 |        165 |         27 |         12 |        204 |
| src\utils                                                                               |          2 |        110 |         15 |         17 |        142 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\工作区\uniapp\heima-shop\index.html                                                     | HTML               |         18 |          2 |          1 |         21 |
| d:\工作区\uniapp\heima-shop\package.json                                                   | JSON               |         67 |          0 |          1 |         68 |
| d:\工作区\uniapp\heima-shop\pnpm-lock.yaml                                                 | YAML               |      2,387 |          0 |        362 |      2,749 |
| d:\工作区\uniapp\heima-shop\project.config.json                                            | JSON               |         44 |          0 |          0 |         44 |
| d:\工作区\uniapp\heima-shop\project.private.config.json                                    | JSON               |          7 |          0 |          0 |          7 |
| d:\工作区\uniapp\heima-shop\src\App.vue                                                    | Vue                |         13 |          0 |          1 |         14 |
| d:\工作区\uniapp\heima-shop\src\api\category.ts                                            | TypeScript         |          4 |          0 |          1 |          5 |
| d:\工作区\uniapp\heima-shop\src\api\goods.ts                                               | TypeScript         |          7 |          2 |          2 |         11 |
| d:\工作区\uniapp\heima-shop\src\api\home.ts                                                | TypeScript         |         28 |          7 |          5 |         40 |
| d:\工作区\uniapp\heima-shop\src\api\index.d.ts                                             | TypeScript         |        151 |          7 |         22 |        180 |
| d:\工作区\uniapp\heima-shop\src\api\search.ts                                              | TypeScript         |          6 |          0 |          1 |          7 |
| d:\工作区\uniapp\heima-shop\src\components\my-goods\index.vue                              | Vue                |         93 |         20 |          6 |        119 |
| d:\工作区\uniapp\heima-shop\src\components\my-search\index.vue                             | Vue                |         45 |          0 |          4 |         49 |
| d:\工作区\uniapp\heima-shop\src\components\uni-badge\uni-badge.vue                         | Vue                |        213 |         33 |         23 |        269 |
| d:\工作区\uniapp\heima-shop\src\components\uni-breadcrumb-item\uni-breadcrumb-item.vue     | Vue                |         91 |          7 |          7 |        105 |
| d:\工作区\uniapp\heima-shop\src\components\uni-breadcrumb\uni-breadcrumb.vue               | Vue                |         29 |          7 |          3 |         39 |
| d:\工作区\uniapp\heima-shop\src\components\uni-calendar\calendar.js                        | JavaScript         |        324 |        184 |         39 |        547 |
| d:\工作区\uniapp\heima-shop\src\components\uni-calendar\i18n\en.json                       | JSON               |         12 |          0 |          1 |         13 |
| d:\工作区\uniapp\heima-shop\src\components\uni-calendar\i18n\index.js                      | JavaScript         |          8 |          0 |          1 |          9 |
| d:\工作区\uniapp\heima-shop\src\components\uni-calendar\i18n\zh-Hans.json                  | JSON               |         12 |          0 |          1 |         13 |
| d:\工作区\uniapp\heima-shop\src\components\uni-calendar\i18n\zh-Hant.json                  | JSON               |         12 |          0 |          1 |         13 |
| d:\工作区\uniapp\heima-shop\src\components\uni-calendar\uni-calendar-item.vue              | Vue                |        171 |          4 |         14 |        189 |
| d:\工作区\uniapp\heima-shop\src\components\uni-calendar\uni-calendar.vue                   | Vue                |        438 |         97 |         28 |        563 |
| d:\工作区\uniapp\heima-shop\src\components\uni-calendar\util.js                            | JavaScript         |        247 |         81 |         23 |        351 |
| d:\工作区\uniapp\heima-shop\src\components\uni-card\uni-card.vue                           | Vue                |        211 |         40 |         20 |        271 |
| d:\工作区\uniapp\heima-shop\src\components\uni-col\uni-col.vue                             | Vue                |        239 |         52 |         27 |        318 |
| d:\工作区\uniapp\heima-shop\src\components\uni-collapse-item\uni-collapse-item.vue         | Vue                |        304 |         72 |         27 |        403 |
| d:\工作区\uniapp\heima-shop\src\components\uni-collapse\uni-collapse.vue                   | Vue                |        127 |         18 |          3 |        148 |
| d:\工作区\uniapp\heima-shop\src\components\uni-combox\uni-combox.vue                       | Vue                |        225 |         35 |         16 |        276 |
| d:\工作区\uniapp\heima-shop\src\components\uni-countdown\i18n\en.json                      | JSON               |          6 |          0 |          1 |          7 |
| d:\工作区\uniapp\heima-shop\src\components\uni-countdown\i18n\index.js                     | JavaScript         |          8 |          0 |          1 |          9 |
| d:\工作区\uniapp\heima-shop\src\components\uni-countdown\i18n\zh-Hans.json                 | JSON               |          6 |          0 |          1 |          7 |
| d:\工作区\uniapp\heima-shop\src\components\uni-countdown\i18n\zh-Hant.json                 | JSON               |          6 |          0 |          1 |          7 |
| d:\工作区\uniapp\heima-shop\src\components\uni-countdown\uni-countdown.vue                 | Vue                |        246 |         21 |          5 |        272 |
| d:\工作区\uniapp\heima-shop\src\components\uni-data-checkbox\uni-data-checkbox.vue         | Vue                |        660 |        103 |         55 |        818 |
| d:\工作区\uniapp\heima-shop\src\components\uni-data-picker\keypress.js                     | JavaScript         |         42 |          3 |          1 |         46 |
